iter	Passed	Remaining
210	641	2398
211	642	2389
212	644	2381
213	645	2372
214	647	2363
215	648	2354
216	650	2348
217	653	2342
218	654	2335
219	656	2326
220	657	2318
221	658	2309
222	660	2300
223	661	2292
224	663	2284
225	664	2276
226	666	2269
227	668	2264
228	670	2257
229	672	2249
230	673	2242
231	675	2234
232	676	2227
233	678	2220
234	679	2213
235	682	2208
236	684	2202
237	685	2194
238	687	2187
239	688	2180
240	690	2173
241	691	2166
242	692	2158
243	694	2150
244	695	2144
245	697	2138
246	699	2131
247	700	2123
248	701	2116
249	703	2109
250	704	2102
251	705	2095
252	707	2088
253	708	2081
254	710	2075
255	711	2069
256	713	2062
257	714	2055
258	716	2048
259	717	2042
260	718	2035
261	720	2028
262	721	2022
263	722	2015
264	724	2009
265	726	2005
266	728	1998
267	729	1992
268	730	1985
269	731	1979
270	733	1972
271	734	1966
272	735	1959
273	737	1953
274	738	1947
275	740	1943
276	742	1937
277	743	1930
278	744	1924
279	746	1918
280	747	1912
281	748	1906
282	750	1900
283	751	1894
284	752	1889
285	755	1884
286	756	1879
287	758	1874
288	759	1868
289	760	1862
290	762	1856
291	763	1851
292	765	1845
293	766	1840
294	767	1835
295	769	1830
296	771	1824
297	772	1819
298	773	1814
299	775	1808
300	776	1803
301	777	1798
302	779	1792
303	780	1787
304	782	1782
305	783	1777
306	785	1773
307	787	1769
308	788	1764
309	790	1759
310	791	1754
311	793	1748
312	794	1743
313	796	1739
314	797	1734
315	799	1729
316	800	1725
317	802	1720
318	803	1715
319	804	1710
320	806	1705
321	807	1700
322	808	1695
323	810	1690
324	811	1685
325	812	1680
326	814	1676
327	816	1671
328	817	1667
329	818	1662
330	820	1657
331	821	1652
332	822	1648
333	824	1643
334	825	1639
335	827	1634
336	828	1629
337	829	1625
338	831	1621
339	832	1616
340	834	1612
341	835	1607
342	836	1602
343	838	1598
344	839	1594
345	841	1590
346	842	1585
347	844	1581
348	845	1577
349	847	1573
350	848	1568
351	849	1564
352	851	1560
353	852	1556
354	854	1551
355	855	1547
356	856	1543
357	858	1539
358	859	1535
359	861	1532
360	863	1528
361	864	1523
362	866	1519
363	867	1515
364	868	1511
365	870	1507
366	871	1503
367	873	1499
368	874	1495
369	876	1492
370	877	1488
371	879	1484
372	880	1480
373	881	1476
374	883	1472
375	884	1468
376	885	1464
377	887	1460
378	888	1456
379	890	1452
380	891	1448
381	893	1444
382	894	1441
383	895	1437
384	897	1433
385	898	1429
386	900	1425
387	901	1421
388	902	1417
389	904	1414
390	905	1410
391	907	1407
392	908	1403
393	910	1400
394	911	1396
395	913	1392
396	914	1389
397	916	1386
398	917	1382
399	919	1378
400	920	1375
401	922	1372
402	924	1369
403	925	1365
404	927	1362
405	928	1358
406	930	1355
407	931	1351
408	933	1348
409	934	1344
410	936	1342
411	938	1339
412	939	1335
413	941	1332
414	942	1328
415	943	1324
416	945	1321
417	946	1318
418	948	1314
419	949	1311
420	951	1308
421	953	1305
422	954	1302
423	956	1299
424	957	1295
425	959	1292
426	960	1289
427	962	1286
428	963	1282
429	967	1282
430	969	1279
431	970	1276
432	971	1272
433	973	1269
434	975	1266
435	976	1263
436	978	1260
437	979	1256
438	981	1254
439	983	1251
440	984	1247
441	985	1244
442	987	1241
443	989	1238
444	990	1235
445	991	1231
446	993	1228
447	994	1225
448	996	1222
449	997	1219
450	999	1216
451	1000	1212
452	1001	1209
453	1003	1206
454	1004	1203
455	1005	1199
456	1007	1196
457	1008	1193
458	1009	1190
459	1011	1187
460	1013	1184
461	1014	1181
462	1015	1178
463	1017	1174
464	1018	1171
465	1019	1168
466	1021	1165
467	1022	1162
468	1023	1159
469	1025	1156
470	1026	1153
471	1028	1150
472	1029	1147
473	1031	1144
474	1032	1141
475	1033	1137
476	1035	1134
477	1036	1131
478	1037	1128
479	1039	1125
480	1040	1122
481	1042	1120
482	1043	1117
483	1045	1114
484	1046	1111
485	1048	1108
486	1049	1105
487	1050	1102
488	1052	1099
489	1053	1096
490	1055	1093
491	1056	1091
492	1058	1088
493	1059	1085
494	1060	1082
495	1062	1079
496	1063	1076
497	1065	1073
498	1066	1070
499	1068	1068
500	1069	1065
501	1070	1062
502	1072	1059
503	1073	1056
504	1075	1054
505	1076	1051
506	1078	1048
507	1079	1045
508	1080	1042
509	1082	1039
510	1083	1036
511	1084	1033
512	1086	1031
513	1088	1028
514	1089	1026
515	1090	1023
516	1092	1021
517	1094	1018
518	1095	1015
519	1097	1012
520	1098	1009
521	1099	1007
522	1101	1004
523	1103	1002
524	1104	999
525	1105	996
526	1107	993
527	1108	991
528	1109	988
529	1111	985
530	1112	982
531	1114	979
532	1115	977
533	1117	974
534	1118	972
535	1119	969
536	1121	966
537	1122	963
538	1123	961
539	1125	958
540	1126	955
541	1128	953
542	1129	950
543	1131	948
544	1132	945
545	1133	942
546	1135	940
547	1136	937
548	1138	935
549	1139	932
550	1141	929
551	1142	927
552	1143	924
553	1145	922
554	1147	919
555	1149	917
556	1150	915
557	1152	912
558	1153	909
559	1155	907
560	1156	904
561	1157	902
562	1159	899
563	1160	897
564	1162	895
565	1164	892
566	1165	890
567	1166	887
568	1168	885
569	1169	882
570	1171	879
571	1172	877
572	1173	874
573	1175	872
574	1177	870
575	1178	867
576	1180	865
577	1181	862
578	1183	860
579	1184	857
580	1185	855
581	1187	852
582	1188	850
583	1189	847
584	1191	845
585	1193	842
586	1194	840
587	1195	837
588	1197	835
589	1198	832
590	1199	830
591	1201	827
592	1202	825
593	1204	822
594	1205	820
595	1207	818
596	1208	816
597	1210	813
598	1211	811
599	1212	808
600	1214	806
601	1215	803
602	1216	801
603	1218	798
604	1219	796
605	1221	793
606	1222	791
607	1223	789
608	1225	786
609	1226	784
610	1227	781
611	1229	779
612	1230	776
613	1232	774
614	1233	772
615	1234	769
616	1236	767
617	1238	765
618	1239	762
619	1241	760
620	1242	758
621	1244	756
622	1245	753
623	1246	751
624	1248	749
625	1249	746
626	1251	744
627	1253	742
628	1254	739
629	1255	737
630	1257	735
631	1258	732
632	1259	730
633	1261	728
634	1262	725
635	1264	723
636	1265	721
637	1267	719
638	1269	716
639	1270	714
640	1271	712
641	1273	709
642	1274	707
643	1275	705
644	1277	703
645	1278	700
646	1280	698
647	1281	696
648	1283	694
649	1284	691
650	1286	689
651	1287	687
652	1288	684
653	1290	682
654	1291	680
655	1293	678
656	1294	675
657	1295	673
658	1297	671
659	1298	669
660	1300	666
661	1301	664
662	1302	662
663	1304	660
664	1305	657
665	1307	655
666	1308	653
667	1310	651
668	1312	649
669	1313	647
670	1314	644
671	1316	642
672	1318	640
673	1319	638
674	1321	636
675	1322	633
676	1323	631
677	1325	629
678	1327	627
679	1328	625
680	1330	623
681	1331	620
682	1333	618
683	1334	616
684	1335	614
685	1337	612
686	1338	609
687	1339	607
688	1341	605
689	1343	603
690	1344	601
691	1345	599
692	1347	596
693	1348	594
694	1350	592
695	1351	590
696	1352	588
697	1354	585
698	1355	583
699	1357	581
700	1358	579
701	1360	577
702	1361	575
703	1363	573
704	1364	570
705	1365	568
706	1367	566
707	1368	564
708	1369	562
709	1371	560
710	1372	558
711	1374	555
712	1375	553
713	1376	551
714	1378	549
715	1379	547
716	1380	545
717	1382	542
718	1383	540
719	1385	538
720	1386	536
721	1388	534
722	1389	532
723	1390	530
724	1392	528
725	1393	525
726	1394	523
727	1396	521
728	1397	519
729	1399	517
730	1400	515
731	1402	513
732	1403	511
733	1406	509
734	1409	508
735	1412	506
736	1416	505
737	1420	504
738	1423	502
739	1426	501
740	1432	500
741	1436	499
742	1439	497
743	1442	496
744	1446	495
745	1449	493
746	1453	492
747	1456	490
748	1459	489
749	1463	487
750	1466	486
751	1469	484
752	1473	483
753	1476	481
754	1479	480
755	1483	478
756	1486	477
757	1489	475
758	1493	474
759	1496	472
760	1499	471
761	1503	469
762	1508	468
763	1511	466
764	1515	465
765	1518	463
766	1522	462
767	1525	460
768	1528	459
769	1532	457
770	1535	456
771	1539	454
772	1542	453
773	1545	451
774	1548	449
775	1552	448
776	1555	446
777	1558	444
778	1562	443
779	1565	441
780	1569	440
781	1573	438
782	1576	436
783	1580	435
784	1584	434
785	1588	432
786	1591	430
787	1594	428
788	1598	427
789	1601	425
790	1604	424
791	1607	422
792	1611	420
793	1615	419
794	1618	417
795	1621	415
796	1624	413
797	1628	412
798	1632	410
799	1634	408
800	1638	406
801	1641	405
802	1646	403
803	1649	402
804	1652	400
805	1655	398
806	1659	396
807	1662	395
808	1665	393
809	1668	391
810	1672	389
811	1676	388
812	1679	386
813	1683	384
814	1685	382
815	1689	380
816	1692	379
817	1695	377
818	1698	375
819	1702	373
820	1706	371
821	1709	370
822	1712	368
823	1715	366
824	1719	364
825	1722	362
826	1725	361
827	1728	359
828	1732	357
829	1736	355
830	1739	353
831	1742	351
832	1746	350
833	1749	348
834	1752	346
835	1755	344
836	1759	342
837	1762	340
838	1766	338
839	1769	337
840	1772	335
841	1775	333
842	1778	331
843	1781	329
844	1785	327
845	1788	325
846	1791	323
847	1795	321
848	1798	319
849	1801	317
850	1805	316
851	1808	314
852	1812	312
853	1815	310
854	1819	308
855	1822	306
856	1826	304
857	1829	302
858	1832	300
859	1835	298
860	1840	297
861	1843	295
862	1846	293
863	1850	291
864	1853	289
865	1858	287
866	1861	285
867	1864	283
868	1867	281
869	1872	279
870	1875	277
871	1878	275
872	1881	273
873	1887	272
874	1890	270
875	1894	268
876	1898	266
877	1902	264
878	1906	262
879	1909	260
880	1913	258
881	1916	256
882	1920	254
883	1923	252
884	1926	250
885	1929	248
886	1933	246
887	1936	244
888	1939	242
889	1942	240
890	1945	238
891	1949	236
892	1952	233
893	1956	231
894	1959	229
895	1962	227
896	1965	225
897	1968	223
898	1972	221
899	1975	219
900	1978	217
901	1982	215
902	1985	213
903	1988	211
904	1992	209
905	1995	207
906	1998	204
907	2001	202
908	2005	200
909	2009	198
910	2012	196
911	2015	194
912	2018	192
913	2022	190
914	2025	188
915	2029	186
916	2032	183
917	2035	181
918	2038	179
919	2040	177
920	2042	175
921	2044	172
922	2046	170
923	2049	168
924	2051	166
925	2053	164
926	2055	161
927	2058	159
928	2059	157
929	2061	155
930	2063	152
931	2064	150
932	2066	148
933	2068	146
934	2069	143
935	2071	141
936	2072	139
937	2073	137
938	2075	134
939	2076	132
940	2077	130
941	2079	128
942	2081	125
943	2082	123
944	2084	121
945	2085	119
946	2086	116
947	2088	114
948	2089	112
949	2090	110
950	2092	107
951	2094	105
952	2095	103
953	2097	101
954	2098	98
955	2100	96
956	2101	94
957	2102	92
958	2104	89
959	2105	87
960	2106	85
961	2108	83
962	2110	81
963	2111	78
964	2112	76
965	2114	74
966	2115	72
967	2117	69
968	2118	67
969	2119	65
970	2121	63
971	2122	61
972	2124	58
973	2125	56
974	2127	54
975	2128	52
976	2129	50
977	2131	47
978	2132	45
979	2133	43
980	2135	41
981	2136	39
982	2138	36
983	2140	34
984	2141	32
985	2142	30
986	2144	28
987	2145	26
988	2146	23
989	2148	21
990	2149	19
991	2150	17
992	2152	15
993	2154	13
994	2155	10
995	2157	8
996	2158	6
997	2159	4
998	2161	2
999	2162	0
